var_1,var_2,cor,p,sig
Diabetes prevelance,Proportion of organic operations,-0.6255655634102443,9.903606292782641e-5,*
Weeks of extreme drought,Proportion of organic operations,-0.5959055873642074,2.5309272354623324e-4,*
Tree species diversity,Proportion of organic operations,0.2334916731545744,0.19095744885728427,
Tree size diversity,Proportion of organic operations,-0.07163969665436161,0.6919720987309599,
Total ecosystem carbon per acre,Proportion of organic operations,0.29169528872512374,0.09953882757667043,
Soil organic carbon,Proportion of organic operations,0.38336308542153685,0.027647705358272212,*
Rarefied richness of plants,Proportion of organic operations,0.15645425849957784,0.38458531446326516,
Rarefied richness of animals,Proportion of organic operations,0.2281871093188529,0.20152426216060526,
Proportion of invasive species,Proportion of organic operations,-0.11591225933958718,0.5206385425963602,
Land Use Diversity,Proportion of organic operations,-0.26422103020097665,0.13731611979751945,
Fuel expenses,Proportion of organic operations,0.07308944324114842,0.6860517517674614,
Available water storage,Proportion of organic operations,0.30667103764969417,0.08258734739717899,
Annual precipitation,Proportion of organic operations,0.10655132837234806,0.5550741954067491,
Total indemnities,Proportion of organic operations,-0.07072204976046148,0.6957288009237288,
Sales from agritourism and recreation,Proportion of organic operations,-0.22091003924187655,0.2166697168581977,
Percent change in wages,Proportion of organic operations,0.04931310433869034,0.7852183275939217,
Market channel ratio,Proportion of organic operations,-0.24505283639508982,0.16928489962739235,
Land and building value per acre,Proportion of organic operations,-0.48257032023500057,0.004451770985561154,*
Gini Index,Proportion of organic operations,-0.0816547865204775,0.6514562261210572,
Expenses per operation,Proportion of organic operations,-0.05367652953596267,0.7667164150035908,
Change in agricultural establishments,Proportion of organic operations,-0.03842634339725836,0.8318657501207438,
Average weekly wages,Proportion of organic operations,-0.16284079234485024,0.36523016664544805,
Social isolation,Proportion of operations using precision agriculture,-0.15653434745410869,0.3843389666152368,
Ratio of female to male producers,Proportion of operations using precision agriculture,-0.23319685990671224,0.19153434072390008,
Racial diversity of producers,Proportion of operations using precision agriculture,0.008354577289716825,0.963195821892876,
Producer age skew,Proportion of operations using precision agriculture,-0.05659067949288532,0.7544291314623663,
Firearm fatalities,Proportion of operations using precision agriculture,-0.14087364467236782,0.43423495872238327,
Annual population change,Proportion of operations using precision agriculture,-0.00424531527921128,0.98129355511153,
Acres in conservation easements,Proportion of operations using precision agriculture,0.02816318897879326,0.8763659201212577,
Total animal and crop sales,Proportion of operations using precision agriculture,0.6155171805527578,1.375431390719939e-4,*
Proportion of organic operations,Proportion of operations using precision agriculture,-0.05012974755044387,0.7817464559936156,
Proportion of operations using precision agriculture,Proportion of operations using precision agriculture,1,NA,NA
Crop diversity,Proportion of operations using precision agriculture,-0.11667219086207734,0.5178897070604416,
Rental vacancy rate,Proportion of operations using precision agriculture,-0.256578807480142,0.14948351493660805,
Proportion uninsured,Proportion of operations using precision agriculture,-0.3512673441420404,0.04502088934103199,*
Price of a meal,Proportion of operations using precision agriculture,0.004020255491894237,0.9822850933332594,
Poor mental health days,Proportion of operations using precision agriculture,0.1105202546998452,0.5403455042178265,
Mobility disability,Proportion of operations using precision agriculture,0.0666577105106952,0.7124519773945874,
Limited access to healthy foods,Proportion of operations using precision agriculture,-0.10083969664708689,0.5765914768488525,
Lacking social support,Proportion of operations using precision agriculture,-0.14518215569166368,0.42016531932691725,
High school graduation rate,Proportion of operations using precision agriculture,0.04748595375130808,0.7930008985126111,
Heart disease prevalence,Proportion of operations using precision agriculture,-0.03552518125518281,0.8443992199475541,
Frequent physical distress,Proportion of operations using precision agriculture,0.0758811777624783,0.6747028236636501,
"Food insecurity rate, overall",Proportion of operations using precision agriculture,-0.15758211509674513,0.38112457048907067,
Diabetes prevelance,Proportion of operations using precision agriculture,0.006463571847496299,0.9715223576388177,
Weeks of extreme drought,Proportion of operations using precision agriculture,0.05145834024272079,0.7761069382925849,
Tree species diversity,Proportion of operations using precision agriculture,-0.09739988907661284,0.5897277983913096,
Tree size diversity,Proportion of operations using precision agriculture,0.1327270203864401,0.46153188382328914,
Total ecosystem carbon per acre,Proportion of operations using precision agriculture,-0.039201942011884476,0.8285217858104361,
Soil organic carbon,Proportion of operations using precision agriculture,-0.07834798764221022,0.6647328818980407,
Rarefied richness of plants,Proportion of operations using precision agriculture,-0.004680487388379946,0.9793764114111818,
Rarefied richness of animals,Proportion of operations using precision agriculture,0.015334132482681404,0.9325029223483754,
Proportion of invasive species,Proportion of operations using precision agriculture,-0.3096750201673435,0.0794725127755247,
Land Use Diversity,Proportion of operations using precision agriculture,0.218008268505226,0.2229206648326505,
Fuel expenses,Proportion of operations using precision agriculture,0.045505562000051625,0.8014583552028487,
Available water storage,Proportion of operations using precision agriculture,-0.13477459624987081,0.45458668699421145,
Annual precipitation,Proportion of operations using precision agriculture,0.13814053074653546,0.4432924469935786,
Total indemnities,Proportion of operations using precision agriculture,-0.05241631984346043,0.772047506931457,
Sales from agritourism and recreation,Proportion of operations using precision agriculture,0.07728078026226523,0.6690393485135955,
Percent change in wages,Proportion of operations using precision agriculture,-0.2536534776612113,0.15434198054903137,
Market channel ratio,Proportion of operations using precision agriculture,-0.1521043496727132,0.39810276835584846,
Land and building value per acre,Proportion of operations using precision agriculture,-0.09474609652596418,0.5999510602921876,
Gini Index,Proportion of operations using precision agriculture,-0.062214628112832106,0.7308848683844293,
Expenses per operation,Proportion of operations using precision agriculture,0.3248076058483124,0.065139925455864,
Change in agricultural establishments,Proportion of operations using precision agriculture,-0.05874394300642203,0.7453876933838619,
Average weekly wages,Proportion of operations using precision agriculture,-0.03237192461980866,0.8580642811637333,
Social isolation,Crop diversity,-0.18897319576083657,0.29223218854786404,
Ratio of female to male producers,Crop diversity,-0.10556619096385855,0.5587587042090791,
Racial diversity of producers,Crop diversity,0.42602733353694455,0.013433849022640665,*
Producer age skew,Crop diversity,0.3635908490150503,0.03753269213911303,*
Firearm fatalities,Crop diversity,-0.58427415140894845,3.568007994294575e-4,*
Annual population change,Crop diversity,0.1825795022854109,0.309163647642849,
Acres in conservation easements,Crop diversity,-0.4921219141903279,0.003625568818519831,*
Total animal and crop sales,Crop diversity,-0.01129812355495789,0.950242612230707,
Proportion of organic operations,Crop diversity,-0.5678995298667419,5.663690831358981e-4,*
Proportion of operations using precision agriculture,Crop diversity,-0.11667219086207734,0.5178897070604416,
Crop diversity,Crop diversity,1,NA,NA
Rental vacancy rate,Crop diversity,-0.34770941949370493,0.04739219618019774,*
Proportion uninsured,Crop diversity,-0.2553645245124176,0.15148657916466268,
Price of a meal,Crop diversity,-0.19770592658649896,0.2700825940907938,
Poor mental health days,Crop diversity,-0.20142338821808742,0.260995179289343,
Mobility disability,Crop diversity,-0.09339504957075527,0.6051848293768902,
Limited access to healthy foods,Crop diversity,0.324093815633465,0.06576688077519477,
Lacking social support,Crop diversity,0.24028525106066612,0.17799902075742713,
High school graduation rate,Crop diversity,-0.032279505761169565,0.858465421147059,
Heart disease prevalence,Crop diversity,-0.3174143289007088,0.071865443063144685,
Frequent physical distress,Crop diversity,-0.07749869926307407,0.6681591403521421,
"Food insecurity rate, overall",Crop diversity,-0.30320543138109807,0.08629675277467053,
Diabetes prevelance,Crop diversity,0.37789588820176806,0.030138573061319285,*
Weeks of extreme drought,Crop diversity,0.7474134039786254,5.805206333420188e-7,*
Tree species diversity,Crop diversity,-0.43444097046491176,0.011526902881111134,*
Tree size diversity,Crop diversity,0.010466699528027859,0.9539002065919873,
Total ecosystem carbon per acre,Crop diversity,-0.27514871021304976,0.12120175691548174,
Soil organic carbon,Crop diversity,-0.35084216420589437,0.045299159592112836,*
Rarefied richness of plants,Crop diversity,0.1954874284349875,0.27560284698559934,
Rarefied richness of animals,Crop diversity,-0.272648454760671,0.12475826465280027,
Proportion of invasive species,Crop diversity,0.11558643530597777,0.5218193026787492,
Land Use Diversity,Crop diversity,0.4070139425009083,0.0187347599386134,*
Fuel expenses,Crop diversity,-0.10286540979634824,0.5689173884765522,
Available water storage,Crop diversity,-0.2487632021003496,0.16271684062733938,
Annual precipitation,Crop diversity,-0.391900881431947,0.024097173607172895,*
Total indemnities,Crop diversity,0.06674411497844918,0.7120950530265777,
Sales from agritourism and recreation,Crop diversity,0.05620961081953367,0.7560325943914488,
Percent change in wages,Crop diversity,-0.20647333743788587,0.24897611923654228,
Market channel ratio,Crop diversity,0.04716557039302691,0.7943675854708068,
Land and building value per acre,Crop diversity,0.5331736349467215,0.001399092160428772,*
Gini Index,Crop diversity,-0.1163832405919708,0.5189340606513397,
Expenses per operation,Crop diversity,0.16682959286794438,0.3534407844914216,
Change in agricultural establishments,Crop diversity,-0.06455281439393032,0.721165333847382,
Average weekly wages,Crop diversity,0.042959810278087464,0.8123626877959143,
Social isolation,Rental vacancy rate,-0.0723711151934907,0.6889829331228767,
Ratio of female to male producers,Rental vacancy rate,0.0076651286140122015,0.9662312279842444,
Racial diversity of producers,Rental vacancy rate,-0.4361179059380456,0.011175495327777174,*
Producer age skew,Rental vacancy rate,-0.03304363332212587,0.8551498119851972,
Firearm fatalities,Rental vacancy rate,0.47264446414295147,0.005477228045862592,*
Annual population change,Rental vacancy rate,0.0039013462710871865,0.9828089782250047,
Acres in conservation easements,Rental vacancy rate,0.12364546210738749,0.49300363187697016,
Total animal and crop sales,Rental vacancy rate,-0.21600810697895104,0.22730012314521186,
Proportion of organic operations,Rental vacancy rate,0.2665950601742066,0.1336885007700459,
Proportion of operations using precision agriculture,Rental vacancy rate,-0.256578807480142,0.14948351493660805,
Crop diversity,Rental vacancy rate,-0.34770941949370493,0.04739219618019774,*
Rental vacancy rate,Rental vacancy rate,1,NA,NA
Proportion uninsured,Rental vacancy rate,0.4953298248078911,0.0033795786954962104,*
Price of a meal,Rental vacancy rate,0.23811003231278677,0.18207849289599265,
Poor mental health days,Rental vacancy rate,0.19921464329474467,0.26636995257827345,
Mobility disability,Rental vacancy rate,0.4346904444052672,0.011474042281821806,*
Limited access to healthy foods,Rental vacancy rate,0.041812483384393945,0.8172885458950765,
Lacking social support,Rental vacancy rate,-0.14104451557820954,0.43367209390407213,
High school graduation rate,Rental vacancy rate,0.22673434017219,0.20448755658769602,
Heart disease prevalence,Rental vacancy rate,0.7114372012381411,3.4624802367488883e-6,*
Frequent physical distress,Rental vacancy rate,0.1401966870608495,0.43646886006787877,
"Food insecurity rate, overall",Rental vacancy rate,0.4978050291949151,0.003199770761826759,*
Diabetes prevelance,Rental vacancy rate,-0.22793898819847844,0.20202824884084558,
Weeks of extreme drought,Rental vacancy rate,-0.24337453788565744,0.17231706182111894,
Tree species diversity,Rental vacancy rate,0.2597030744838325,0.1444181876478985,
Tree size diversity,Rental vacancy rate,-0.25558601516114915,0.15111976992252485,
Total ecosystem carbon per acre,Rental vacancy rate,-0.03124467271529904,0.8629594183557949,
Soil organic carbon,Rental vacancy rate,0.19149977957246547,0.2857079607232085,
Rarefied richness of plants,Rental vacancy rate,0.029695676123556766,0.8696941310606794,
Rarefied richness of animals,Rental vacancy rate,0.13760879028755435,0.4450664685748458,
Proportion of invasive species,Rental vacancy rate,-0.06543897900233757,0.717492728868397,
Land Use Diversity,Rental vacancy rate,-0.3075384176713188,0.08167845994704281,
Fuel expenses,Rental vacancy rate,0.25724324726881975,0.14839563087351415,
Available water storage,Rental vacancy rate,-0.01770132539527467,0.9221125402204002,
Annual precipitation,Rental vacancy rate,0.23947838239498503,0.17950463151531149,
Total indemnities,Rental vacancy rate,0.037546962321424585,0.835660668429703,
Sales from agritourism and recreation,Rental vacancy rate,-0.035135214244212946,0.846086867004602,
Percent change in wages,Rental vacancy rate,0.23019603752550477,0.19747578144277877,
Market channel ratio,Rental vacancy rate,-0.2546567244016927,0.15266308340555224,
Land and building value per acre,Rental vacancy rate,-0.3367743010041674,0.055310510576994876,
Gini Index,Rental vacancy rate,0.2394008078742727,0.1796498576825427,
Expenses per operation,Rental vacancy rate,-0.21959629180715387,0.21948474698724119,
Change in agricultural establishments,Rental vacancy rate,-0.3540633140654627,0.0432249415576309,*
Average weekly wages,Rental vacancy rate,-0.10062649239728509,0.5774018577339302,
Social isolation,Proportion uninsured,0.04202437582631522,0.816378298231689,
Ratio of female to male producers,Proportion uninsured,-0.09278426417972632,0.6075572935255695,
Racial diversity of producers,Proportion uninsured,-0.06511609390525194,0.7188301743974455,
Producer age skew,Proportion uninsured,-0.02644812323325695,0.8838424730306806,
Firearm fatalities,Proportion uninsured,0.545941949581469,0.0010147215065861026,*
Annual population change,Proportion uninsured,0.15785322512674035,0.380295407682536,
Acres in conservation easements,Proportion uninsured,-0.11827640774292637,0.5121104435526194,
Total animal and crop sales,Proportion uninsured,-0.10791602194358267,0.549988839454211,
Proportion of organic operations,Proportion uninsured,0.12278397461737205,0.4960447298688384,
Proportion of operations using precision agriculture,Proportion uninsured,-0.3512673441420404,0.04502088934103199,*
Crop diversity,Proportion uninsured,-0.2553645245124176,0.15148657916466268,
Rental vacancy rate,Proportion uninsured,0.4953298248078911,0.0033795786954962104,*
Proportion uninsured,Proportion uninsured,1,NA,NA
Price of a meal,Proportion uninsured,-0.40553371115850056,0.01921170459556576,*
Poor mental health days,Proportion uninsured,-0.01734777537598657,0.9236636255478532,
Mobility disability,Proportion uninsured,0.30525779963404714,0.08408487967191647,
Limited access to healthy foods,Proportion uninsured,-0.14068791002746703,0.4348472409433568,
Lacking social support,Proportion uninsured,0.19636526686922443,0.27340985212173696,
High school graduation rate,Proportion uninsured,0.3436810117207226,0.05019644792095268,
Heart disease prevalence,Proportion uninsured,0.36286558898473475,0.03794348541945736,*
Frequent physical distress,Proportion uninsured,0.08020338615698451,0.6572709047811571,
"Food insecurity rate, overall",Proportion uninsured,0.43101906875622276,0.01227294181452332,*
Diabetes prevelance,Proportion uninsured,0.16717525532012206,0.3524300292073983,
Weeks of extreme drought,Proportion uninsured,-0.27702513822596947,0.1185825466709356,
Tree species diversity,Proportion uninsured,0.18569591734863242,0.300835456162982,
Tree size diversity,Proportion uninsured,-0.5285172372831102,0.0015681000059943884,*
Total ecosystem carbon per acre,Proportion uninsured,-0.36047907316821826,0.03932094887903226,*
Soil organic carbon,Proportion uninsured,0.031062218211871967,0.8637522098977772,
Rarefied richness of plants,Proportion uninsured,-0.27001934728699345,0.12858088138925083,
Rarefied richness of animals,Proportion uninsured,-0.19944201115240137,0.26581335634335646,
Proportion of invasive species,Proportion uninsured,-0.09945094819207026,0.5818791827901191,
Land Use Diversity,Proportion uninsured,0.05445137577326178,0.7634437536688965,
Fuel expenses,Proportion uninsured,0.09514513133410467,0.5984089883697439,
Available water storage,Proportion uninsured,0.02421110387895832,0.8936091031774367,
Annual precipitation,Proportion uninsured,0.4519013784708282,0.008288280470135856,*
Total indemnities,Proportion uninsured,0.28175628297218047,0.11216607950669855,
Sales from agritourism and recreation,Proportion uninsured,0.2985682087726477,0.09145865261155972,
Percent change in wages,Proportion uninsured,0.08575597766003672,0.635135320233229,
Market channel ratio,Proportion uninsured,0.12369739747453348,0.4928206012216445,
Land and building value per acre,Proportion uninsured,-0.25081803205423137,0.15915902607671573,
Gini Index,Proportion uninsured,-0.15344196587882933,0.3939174165068149,
Expenses per operation,Proportion uninsured,0.018447739993181014,0.918838821276335,
Change in agricultural establishments,Proportion uninsured,-0.20232619786333622,0.25881895286478995,
Average weekly wages,Proportion uninsured,-0.4172666066905559,0.015694198049793107,*
Social isolation,Price of a meal,-0.045235395164650624,0.8026138685680948,
Ratio of female to male producers,Price of a meal,0.18110978992446655,0.31314101628298685,
Racial diversity of producers,Price of a meal,-0.12628215860460976,0.4837553006033386,
Producer age skew,Price of a meal,0.03085821984369497,0.8646387671011764,
Firearm fatalities,Price of a meal,-0.08467986179562773,0.6394018959401391,
Annual population change,Price of a meal,-0.22502106308344166,0.2080207707363244,
Acres in conservation easements,Price of a meal,0.20635640911651235,0.24925017995549958,
Total animal and crop sales,Price of a meal,-0.1175621351948534,0.514679686620906,
Proportion of organic operations,Price of a meal,0.4454999174766061,0.009371866834975595,*
Proportion of operations using precision agriculture,Price of a meal,0.004020255491894237,0.9822850933332594,
Crop diversity,Price of a meal,-0.19770592658649896,0.2700825940907938,
Rental vacancy rate,Price of a meal,0.23811003231278677,0.18207849289599265,
Proportion uninsured,Price of a meal,-0.40553371115850056,0.01921170459556576,*
Price of a meal,Price of a meal,1,NA,NA
Poor mental health days,Price of a meal,-0.11314474976820439,0.5307092333365377,
Mobility disability,Price of a meal,-0.30540616316193,0.08392669243923656,
Limited access to healthy foods,Price of a meal,-0.05288574147447565,0.7700604924497354,
Lacking social support,Price of a meal,-0.6009349203192047,2.172723176725455e-4,*
High school graduation rate,Price of a meal,-0.6475011787700329,4.640341897443889e-5,*
Heart disease prevalence,Price of a meal,-0.0759987189070885,0.6742265151349707,
Frequent physical distress,Price of a meal,-0.34907552848863654,0.04647017159383093,*
"Food insecurity rate, overall",Price of a meal,-0.11546552772644549,0.5222577948302711,
Diabetes prevelance,Price of a meal,-0.6451557182780419,5.046438345956972e-5,*
Weeks of extreme drought,Price of a meal,-0.20957093006809144,0.24178875460031635,
Tree species diversity,Price of a meal,0.09469826199436022,0.6001360317531474,
Tree size diversity,Price of a meal,0.22469359322382157,0.20870085727919618,
Total ecosystem carbon per acre,Price of a meal,0.3671933701743254,0.03554517017453307,*
Soil organic carbon,Price of a meal,0.1786665447111182,0.3198234979681389,
Rarefied richness of plants,Price of a meal,0.11723651337930972,0.5158530598314206,
Rarefied richness of animals,Price of a meal,0.1420492981487514,0.4303703696766572,
Proportion of invasive species,Price of a meal,0.16463509106081273,0.3598983101310136,
Land Use Diversity,Price of a meal,-0.3134862269487086,0.0756522358618037,
Fuel expenses,Price of a meal,-0.004350587308995475,0.9808297710660372,
Available water storage,Price of a meal,0.029208143601891293,0.8718157036358494,
Annual precipitation,Price of a meal,-0.1297298607154364,0.47179873331585,
Total indemnities,Price of a meal,-0.2332866556019983,0.19135849919818382,
Sales from agritourism and recreation,Price of a meal,-0.3000293950071928,0.08980732108245437,
Percent change in wages,Price of a meal,0.17297588565353517,0.3357286841603355,
Market channel ratio,Price of a meal,-0.16965673731299488,0.3452250610652272,
Land and building value per acre,Price of a meal,-0.09841019110624045,0.5858559621913155,
Gini Index,Price of a meal,0.4041349602871869,0.019671620063268946,*
Expenses per operation,Price of a meal,-0.2512188208166707,0.1584716570993836,
Change in agricultural establishments,Price of a meal,0.06812398234526011,0.7064031905165791,
Average weekly wages,Price of a meal,0.1686570189224825,0.34811692643157466,
Social isolation,Poor mental health days,0.5300475025773687,0.0015106883305737728,*
Ratio of female to male producers,Poor mental health days,0.23826893170739621,0.1817782757590105,
Racial diversity of producers,Poor mental health days,-0.2395826183018837,0.17930962359319969,
Producer age skew,Poor mental health days,0.08225554465355504,0.6490552966346947,
Firearm fatalities,Poor mental health days,0.37335605603575367,0.03234356770678093,*
Annual population change,Poor mental health days,-0.23260089974497217,0.19270423755369936,
Acres in conservation easements,Poor mental health days,0.40696638985097494,0.018749927359953622,*
Total animal and crop sales,Poor mental health days,0.06986625373233976,0.6992387065823256,
Proportion of organic operations,Poor mental health days,0.13454999463484676,0.45534577064671566,
Proportion of operations using precision agriculture,Poor mental health days,0.1105202546998452,0.5403455042178265,
Crop diversity,Poor mental health days,-0.20142338821808742,0.260995179289343,
Rental vacancy rate,Poor mental health days,0.19921464329474467,0.26636995257827345,
Proportion uninsured,Poor mental health days,-0.01734777537598657,0.9236636255478532,
Price of a meal,Poor mental health days,-0.11314474976820439,0.5307092333365377,
Poor mental health days,Poor mental health days,1,NA,NA
Mobility disability,Poor mental health days,0.4607324303082792,0.006969502310869791,*
Limited access to healthy foods,Poor mental health days,0.19740896051039325,0.2708173201470594,
Lacking social support,Poor mental health days,-0.14383249050343272,0.42454508039029193,
High school graduation rate,Poor mental health days,0.5644927945904624,6.21651390377842e-4,*
Heart disease prevalence,Poor mental health days,0.4868671098404001,0.004061973018546938,*
Frequent physical distress,Poor mental health days,0.5742284428124513,4.7509928619726693e-4,*
"Food insecurity rate, overall",Poor mental health days,0.6867660453306573,1.017523978674717e-5,*
Diabetes prevelance,Poor mental health days,-0.020568052082733837,0.9095465974714765,
Weeks of extreme drought,Poor mental health days,-0.18960899283614566,0.29058152800386283,
Tree species diversity,Poor mental health days,0.37291946313673746,0.032562367241988355,*
Tree size diversity,Poor mental health days,-0.005352989166867066,0.9764139421642795,
Total ecosystem carbon per acre,Poor mental health days,0.38326795600565555,0.027689556361787826,*
Soil organic carbon,Poor mental health days,0.6171013806616525,1.3069936423715234e-4,*
Rarefied richness of plants,Poor mental health days,0.4041204698899238,0.019676431962236673,*
Rarefied richness of animals,Poor mental health days,0.3524557848634774,0.04425034257353211,*
Proportion of invasive species,Poor mental health days,-0.42994100594746654,0.01251623669542079,*
Land Use Diversity,Poor mental health days,-0.4501308603190091,0.008576745538243724,*
Fuel expenses,Poor mental health days,0.09470621010425835,0.6001052954896893,
Available water storage,Poor mental health days,0.4851483142735233,0.004214215004874067,*
Annual precipitation,Poor mental health days,0.34454171597510175,0.04958645898471037,*
Total indemnities,Poor mental health days,0.06940319888472686,0.7011404055575619,
Sales from agritourism and recreation,Poor mental health days,0.053069005908259005,0.7692851411243413,
Percent change in wages,Poor mental health days,0.0706692302575617,0.6959452529111041,
Market channel ratio,Poor mental health days,-0.5767596048486743,4.4241345616802263e-4,*
Land and building value per acre,Poor mental health days,-0.6729400093524408,1.7812640070946628e-5,*
Gini Index,Poor mental health days,0.04794377009864036,0.7910490013080014,
Expenses per operation,Poor mental health days,-0.1875683188807144,0.29590072734164274,
Change in agricultural establishments,Poor mental health days,0.03244469472642386,0.8577484502334847,
Average weekly wages,Poor mental health days,-0.16768925562137102,0.3509302549516504,
Social isolation,Mobility disability,-0.03711972879445157,0.8375056891649502,
Ratio of female to male producers,Mobility disability,0.017213290952385805,0.9242537048278467,
Racial diversity of producers,Mobility disability,-0.04195147043424643,0.8166914587424174,
Producer age skew,Mobility disability,-0.0027371558820686597,0.9879384548929342,
Firearm fatalities,Mobility disability,0.07610043485512019,0.6738144347352453,
Annual population change,Mobility disability,0.03819478159617184,0.8328646840045497,
Acres in conservation easements,Mobility disability,-0.19337686851578742,0.2809219612726772,
Total animal and crop sales,Mobility disability,-0.2083858953866403,0.2445218209122606,
Proportion of organic operations,Mobility disability,-0.25056354603959063,0.1595965914215265,
Proportion of operations using precision agriculture,Mobility disability,0.0666577105106952,0.7124519773945874,
Crop diversity,Mobility disability,-0.09339504957075527,0.6051848293768902,
Rental vacancy rate,Mobility disability,0.4346904444052672,0.011474042281821806,*
Proportion uninsured,Mobility disability,0.30525779963404714,0.08408487967191647,
Price of a meal,Mobility disability,-0.30540616316193,0.08392669243923656,
Poor mental health days,Mobility disability,0.4607324303082792,0.006969502310869791,*
Mobility disability,Mobility disability,1,NA,NA
Limited access to healthy foods,Mobility disability,0.37616883628652575,0.03096246556892268,*
Lacking social support,Mobility disability,0.07924711844611104,0.6611127893104924,
High school graduation rate,Mobility disability,0.6538994296578993,3.67774411920152e-5,*
Heart disease prevalence,Mobility disability,0.8545240036027526,2.4955193467235404e-10,*
Frequent physical distress,Mobility disability,0.8116138935094115,1.0002260797392637e-8,*
"Food insecurity rate, overall",Mobility disability,0.48693224334751173,0.004056298343748654,*
Diabetes prevelance,Mobility disability,0.5071206928241506,0.0025951940133026596,*
Weeks of extreme drought,Mobility disability,0.13388292821391481,0.45760424164972147,
Tree species diversity,Mobility disability,0.10034644545084404,0.5784670790868152,
Tree size diversity,Mobility disability,-0.3347534005660194,0.05688241716075426,
Total ecosystem carbon per acre,Mobility disability,-0.35483197869487354,0.04274142028201844,*
Soil organic carbon,Mobility disability,0.09694122866017563,0.5914892400508225,
Rarefied richness of plants,Mobility disability,-0.14210242647715007,0.43019617656899634,
Rarefied richness of animals,Mobility disability,0.05475654799394419,0.7621559188809388,
Proportion of invasive species,Mobility disability,-0.10817709593346236,0.5490184735136463,
Land Use Diversity,Mobility disability,0.14107122678831788,0.43358414092649156,
Fuel expenses,Mobility disability,0.02293372422036863,0.8991930103118424,
Available water storage,Mobility disability,-0.2106786176224055,0.23925262215104937,
Annual precipitation,Mobility disability,0.3492331434626516,0.046364722810940506,*
Total indemnities,Mobility disability,0.18778301795010655,0.2953381976393543,
Sales from agritourism and recreation,Mobility disability,0.3752510059586207,0.031407738403298247,*
Percent change in wages,Mobility disability,-0.06186818262508548,0.7323285391916865,
Market channel ratio,Mobility disability,-0.31537138197456355,0.07381603618733323,
Land and building value per acre,Mobility disability,-0.12261063184300602,0.4966577870149833,
Gini Index,Mobility disability,0.2511207626446958,0.15863963309527818,
Expenses per operation,Mobility disability,-0.1909122975683939,0.28721655729135476,
Change in agricultural establishments,Mobility disability,-0.49390387719867335,0.003487081008120896,*
Average weekly wages,Mobility disability,-0.12130310747399814,0.5012944182738648,
Social isolation,Limited access to healthy foods,0.04308906821036393,0.8118081787410563,
Ratio of female to male producers,Limited access to healthy foods,-0.2888484013046311,0.10303995986554293,
Racial diversity of producers,Limited access to healthy foods,0.0668167578837228,0.711795022073386,
Producer age skew,Limited access to healthy foods,0.3097366299544664,0.07940959340283049,
Firearm fatalities,Limited access to healthy foods,-0.3664276855422734,0.0359602954883842,*
Annual population change,Limited access to healthy foods,-0.28619883483366315,0.1063813103195923,
Acres in conservation easements,Limited access to healthy foods,-0.3557655879493668,0.042159997410554206,*
Total animal and crop sales,Limited access to healthy foods,-0.04388029235386367,0.8084158379940507,
Proportion of organic operations,Limited access to healthy foods,-0.3697058837739095,0.03421019327130237,*
Proportion of operations using precision agriculture,Limited access to healthy foods,-0.10083969664708689,0.5765914768488525,
Crop diversity,Limited access to healthy foods,0.324093815633465,0.06576688077519477,
Rental vacancy rate,Limited access to healthy foods,0.041812483384393945,0.8172885458950765,
Proportion uninsured,Limited access to healthy foods,-0.14068791002746703,0.4348472409433568,
Price of a meal,Limited access to healthy foods,-0.05288574147447565,0.7700604924497354,
Poor mental health days,Limited access to healthy foods,0.19740896051039325,0.2708173201470594,
Mobility disability,Limited access to healthy foods,0.37616883628652575,0.03096246556892268,*
Limited access to healthy foods,Limited access to healthy foods,1,NA,NA
Lacking social support,Limited access to healthy foods,0.32603947877988465,0.06406894389898765,
High school graduation rate,Limited access to healthy foods,0.12920763238755695,0.47359979662994034,
Heart disease prevalence,Limited access to healthy foods,0.1868095068152755,0.29789433825377953,
Frequent physical distress,Limited access to healthy foods,0.49567461394552287,0.003354019626699234,*
"Food insecurity rate, overall",Limited access to healthy foods,-0.03920211084844261,0.82852105819727,
Diabetes prevelance,Limited access to healthy foods,0.4361856404755498,0.011161493445771331,*
Weeks of extreme drought,Limited access to healthy foods,0.4934233492115558,0.0035239679103318267,*
Tree species diversity,Limited access to healthy foods,-0.04930160668778359,0.7852672378118788,
Tree size diversity,Limited access to healthy foods,-0.0027363080995457954,0.9879421904591126,
Total ecosystem carbon per acre,Limited access to healthy foods,-0.24121949898446626,0.17626690990297678,
Soil organic carbon,Limited access to healthy foods,-0.2197534774100082,0.2191466299376752,
Rarefied richness of plants,Limited access to healthy foods,0.08631827266627265,0.632910499527767,
Rarefied richness of animals,Limited access to healthy foods,0.08599598114288119,0.634185318939718,
Proportion of invasive species,Limited access to healthy foods,0.01064893212894769,0.9530984487496894,
Land Use Diversity,Limited access to healthy foods,0.19000463839648013,0.2895573664093021,
Fuel expenses,Limited access to healthy foods,0.12613427783815356,0.4842716185504674,
Available water storage,Limited access to healthy foods,-0.23570932136413753,0.18665688504838895,
Annual precipitation,Limited access to healthy foods,-0.20301657290131106,0.2571628892156457,
Total indemnities,Limited access to healthy foods,0.22602199582491656,0.20595151791776622,
Sales from agritourism and recreation,Limited access to healthy foods,-0.0514897580400875,0.7759737127111377,
Percent change in wages,Limited access to healthy foods,0.20164448879238045,0.26046110666331823,
